center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift,self_time_dur,closest_time_dur
Ses01_angry_01_A_011,Ses01_angry_01_A_009,Ses01_angry_01_B_010,Anger,Neutral,Surprise,2,1,1,0,0
Ses01_angry_01_B_012,Ses01_angry_01_B_010,Ses01_angry_01_A_011,Anger,Surprise,Anger,2,1,1,0,0
Ses01_angry_01_B_016,Ses01_angry_01_B_015,Ses01_angry_01_A_014,Neutral,Anger,Anger,1,2,1,0,0
Ses01_angry_01_B_019,Ses01_angry_01_B_018,Ses01_angry_01_A_014,Anger,Neutral,Anger,1,5,1,0,0
Ses01_angry_01_A_020,Ses01_angry_01_A_014,Ses01_angry_01_B_019,Neutral,Anger,Anger,6,1,1,0,0
Ses01_angry_01_A_021,Ses01_angry_01_A_020,Ses01_angry_01_B_019,Anger,Neutral,Anger,1,2,1,0,0
Ses01_angry_02_A_009,Ses01_angry_02_A_005,Ses01_angry_02_B_008,Happiness,Neutral,Happiness,4,1,1,0,0
Ses01_angry_02_A_011,Ses01_angry_02_A_010,Ses01_angry_02_B_008,Neutral,Happiness,Happiness,1,3,1,0,0
Ses01_angry_02_B_014,Ses01_angry_02_B_013,Ses01_angry_02_A_011,Neutral,Happiness,Neutral,1,3,1,0,0
Ses01_angry_02_A_031,Ses01_angry_02_A_029,Ses01_angry_02_B_030,Happiness,Neutral,Anger,2,1,1,0,0
Ses01_angry_02_A_033,Ses01_angry_02_A_031,Ses01_angry_02_B_032,Anger,Happiness,Surprise,2,1,1,0,0
Ses01_angry_02_B_034,Ses01_angry_02_B_032,Ses01_angry_02_A_033,Anger,Surprise,Anger,2,1,1,0,0
Ses01_angry_02_A_037,Ses01_angry_02_A_035,Ses01_angry_02_B_036,Happiness,Anger,Anger,2,1,1,0,0
Ses01_angry_02_A_039,Ses01_angry_02_A_037,Ses01_angry_02_B_038,Anger,Happiness,Anger,2,1,1,0,0
Ses01_angry_02_A_041,Ses01_angry_02_A_039,Ses01_angry_02_B_040,Neutral,Anger,Anger,2,1,1,0,0
Ses01_angry_02_B_042,Ses01_angry_02_B_040,Ses01_angry_02_A_041,Neutral,Anger,Neutral,2,1,1,0,0
Ses01_angry_02_B_044,Ses01_angry_02_B_042,Ses01_angry_02_A_043,Happiness,Neutral,Neutral,2,1,1,0,0
Ses01_angry_02_B_047,Ses01_angry_02_B_045,Ses01_angry_02_A_046,Happiness,Surprise,Surprise,2,1,1,0,0
Ses01_angry_02_A_048,Ses01_angry_02_A_046,Ses01_angry_02_B_047,Happiness,Surprise,Happiness,2,1,1,0,0
Ses01_angry_02_B_049,Ses01_angry_02_B_047,Ses01_angry_02_A_048,Neutral,Happiness,Happiness,2,1,1,0,0
