center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift,self_time_dur,closest_time_dur
Ses01F_impro01_F000,pad,pad,neu,pad,pad,None,None,0,None,None
Ses01F_impro01_F001,Ses01F_impro01_F000,Ses01F_impro01_M000,neu,neu,fru,2,1,0,0,0
Ses01F_impro01_F002,Ses01F_impro01_F001,Ses01F_impro01_M001,neu,neu,fru,2,1,0,0,0
Ses01F_impro02_F000,pad,pad,sad,pad,pad,None,None,0,None,None
Ses01F_impro02_F001,Ses01F_impro02_F000,Ses01F_impro02_M000,sad,sad,xxx,2,1,0,0,0
Ses01F_impro02_F002,Ses01F_impro02_F001,Ses01F_impro02_M001,sad,sad,sad,2,1,0,0,0
Ses01F_impro02_F005,Ses01F_impro02_F004,Ses01F_impro02_M003,sad,sad,fru,2,1,0,0,0
Ses01F_impro02_M010,Ses01F_impro02_M009,Ses01F_impro02_F012,sad,sad,sad,2,1,0,0,0
Ses01F_impro02_F013,Ses01F_impro02_F012,Ses01F_impro02_M010,sad,sad,sad,2,1,0,0,0
Ses01F_impro02_M011,Ses01F_impro02_M010,Ses01F_impro02_F013,sad,sad,sad,2,1,0,0,0
Ses01F_impro02_F014,Ses01F_impro02_F013,Ses01F_impro02_M011,sad,sad,sad,2,1,0,0,0
Ses01F_impro02_F015,Ses01F_impro02_F014,Ses01F_impro02_M012,sad,sad,neu,2,1,0,0,0
Ses01F_impro02_M014,Ses01F_impro02_M013,Ses01F_impro02_F016,sad,sad,neu,2,1,0,0,0
Ses01F_impro02_F020,Ses01F_impro02_F019,Ses01F_impro02_M015,sad,sad,neu,1,3,0,0,0
Ses01F_impro03_M000,pad,pad,neu,pad,pad,None,None,0,None,None
Ses01F_impro03_F000,pad,Ses01F_impro03_M000,hap,pad,neu,None,1,0,None,0
Ses01F_impro03_M001,Ses01F_impro03_M000,Ses01F_impro03_F000,neu,neu,hap,2,1,0,0,0
Ses01F_impro03_F001,Ses01F_impro03_F000,Ses01F_impro03_M001,hap,hap,neu,2,1,0,0,0
Ses01F_impro03_F002,Ses01F_impro03_F001,Ses01F_impro03_M002,hap,hap,sur,2,1,0,0,0
Ses01F_impro03_F005,Ses01F_impro03_F004,Ses01F_impro03_M004,hap,hap,xxx,1,2,0,0,0
Ses01F_impro03_F006,Ses01F_impro03_F005,Ses01F_impro03_M005,hap,hap,xxx,2,1,0,0,0
Ses01F_impro03_F009,Ses01F_impro03_F008,Ses01F_impro03_M008,hap,hap,neu,2,1,0,0,0
Ses01F_impro03_M009,Ses01F_impro03_M008,Ses01F_impro03_F009,neu,neu,hap,2,1,0,0,0
Ses01F_impro03_F010,Ses01F_impro03_F009,Ses01F_impro03_M009,hap,hap,neu,2,1,0,0,0
Ses01F_impro03_F013,Ses01F_impro03_F012,Ses01F_impro03_M012,hap,hap,xxx,2,1,0,0,0
Ses01F_impro03_M014,Ses01F_impro03_M013,Ses01F_impro03_F014,hap,hap,xxx,2,1,0,0,0
Ses01F_impro03_M015,Ses01F_impro03_M014,Ses01F_impro03_F015,hap,hap,hap,2,1,0,0,0
Ses01F_impro03_F016,Ses01F_impro03_F015,Ses01F_impro03_M015,hap,hap,hap,2,1,0,0,0
Ses01F_impro03_F018,Ses01F_impro03_F017,Ses01F_impro03_M017,neu,neu,sur,2,1,0,0,0
Ses01F_impro03_F019,Ses01F_impro03_F018,Ses01F_impro03_M018,neu,neu,sur,2,1,0,0,0
Ses01F_impro03_M020,Ses01F_impro03_M019,Ses01F_impro03_F021,neu,neu,hap,3,1,0,0,0
Ses01F_impro03_M021,Ses01F_impro03_M020,Ses01F_impro03_F022,neu,neu,neu,2,1,0,0,0
Ses01F_impro03_F023,Ses01F_impro03_F022,Ses01F_impro03_M021,neu,neu,neu,2,1,0,0,0
Ses01F_impro03_M023,Ses01F_impro03_M022,Ses01F_impro03_F024,hap,hap,hap,1,2,0,0,0
Ses01F_impro03_F025,Ses01F_impro03_F024,Ses01F_impro03_M023,hap,hap,hap,3,1,0,0,0
Ses01F_impro03_F026,Ses01F_impro03_F025,Ses01F_impro03_M023,hap,hap,hap,1,2,0,0,0
Ses01F_impro04_M000,pad,pad,neu,pad,pad,None,None,0,None,None
Ses01F_impro04_F000,pad,Ses01F_impro04_M000,neu,pad,neu,None,1,0,None,0
Ses01F_impro04_M001,Ses01F_impro04_M000,Ses01F_impro04_F000,neu,neu,neu,2,1,0,0,0
Ses01F_impro04_F001,Ses01F_impro04_F000,Ses01F_impro04_M001,neu,neu,neu,2,1,0,0,0
Ses01F_impro04_M002,Ses01F_impro04_M001,Ses01F_impro04_F001,neu,neu,neu,2,1,0,0,0
Ses01F_impro04_M003,Ses01F_impro04_M002,Ses01F_impro04_F002,neu,neu,fru,2,1,0,0,0
Ses01F_impro04_M004,Ses01F_impro04_M003,Ses01F_impro04_F002,neu,neu,fru,1,2,0,0,0
Ses01F_impro04_M005,Ses01F_impro04_M004,Ses01F_impro04_F003,neu,neu,xxx,2,1,0,0,0
Ses01F_impro04_M006,Ses01F_impro04_M005,Ses01F_impro04_F004,neu,neu,xxx,2,1,0,0,0
Ses01F_impro04_F006,Ses01F_impro04_F005,Ses01F_impro04_M006,neu,neu,neu,1,2,0,0,0
Ses01F_impro04_M007,Ses01F_impro04_M006,Ses01F_impro04_F006,neu,neu,neu,3,1,0,0,0
Ses01F_impro04_M008,Ses01F_impro04_M007,Ses01F_impro04_F008,neu,neu,xxx,3,1,0,0,0
Ses01F_impro04_M009,Ses01F_impro04_M008,Ses01F_impro04_F008,neu,neu,xxx,1,2,0,0,0
Ses01F_impro04_M010,Ses01F_impro04_M009,Ses01F_impro04_F009,neu,neu,neu,2,1,0,0,0
Ses01F_impro04_M011,Ses01F_impro04_M010,Ses01F_impro04_F010,neu,neu,xxx,2,1,0,0,0
Ses01F_impro04_M012,Ses01F_impro04_M011,Ses01F_impro04_F011,neu,neu,xxx,2,1,0,0,0
Ses01F_impro04_M013,Ses01F_impro04_M012,Ses01F_impro04_F012,neu,neu,xxx,2,1,0,0,0
